中央卫视,#genre#
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1综合,http://183.62.8.58:50085/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
CCTV1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•12•IPV4『线路6

CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2财经,http://183.62.8.58:50085/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV2财经,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2财经,http://112.46.85.60:8009/hls/502/index.m3u8

CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV3综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8

CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4中文国际,http://107.150.50.82:81/live/cctv4.m3u8?tm=1774852653&key=d281e2714836eef618dd24dbd2c72f0d
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8

CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV6电影,http://182.150.23.74:808/hls/6/index.m3u8
CCTV6电影,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8

CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV7国防军事,http://112.46.85.60:8009/hls/504/index.m3u8
CCTV7国防军事,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8

CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV8电视剧,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8

CCTV9记录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9记录,http://112.46.85.60:8009/hls/509/index.m3u8

CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV10科教,http://182.150.23.74:808/hls/10/index.m3u8


CCTV11戏剧,http://74.91.26.218:82/live/cctv11hd.m3u8


CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV12社会与法,http://112.46.85.60:8009/hls/507/index.m3u8


CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8

CCTV14少儿,http://198.204.228.26/live/cctv14hd.m3u8
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8

CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8



CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8

世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub


女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
女性时尚,http://39.152.103.17:8089/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1

第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub

文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub



CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

卫视,#genre#
安徽衛視,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8

東方衛視,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub


湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8


江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
江苏卫视,http://183.131.110.207:85/tsfile/live/23/2010_1.m3u8?key=txiptv
江苏卫视,http://61.178.227.57:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://113.124.233.189:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
